Result,match_number,team,opponent,toss_decision,gender,season,home_advantage,venue_city,choose_to_bat,avg_score,avg_win_rate,avg_wickets_out,last_match_result
,1,Southern Brave,Trent Rockets,bat,female,2023,no,"Trent Bridge, Nottingham Nottingham",no,,,,
,1,Trent Rockets,Southern Brave,field,female,2023,yes,"Trent Bridge, Nottingham Nottingham",yes,,,,
,4,Birmingham Phoenix,Northern Superchargers,bat,female,2023,no,"Headingley, Leeds Leeds",no,,,,
,4,Northern Superchargers,Birmingham Phoenix,field,female,2023,yes,"Headingley, Leeds Leeds",yes,,,,
,5,Welsh Fire,Southern Brave,bat,female,2023,no,"The Rose Bowl, Southampton Southampton",no,,,,
,5,Southern Brave,Welsh Fire,field,female,2023,yes,"The Rose Bowl, Southampton Southampton",yes,,,,
,8,Southern Brave,Northern Superchargers,field,female,2023,yes,"The Rose Bowl, Southampton Southampton",yes,,,,
,8,Northern Superchargers,Southern Brave,bat,female,2023,no,"The Rose Bowl, Southampton Southampton",no,,,,
,9,Oval Invincibles,Welsh Fire,bat,female,2023,yes,"Kennington Oval, London London",no,,,,
,9,Welsh Fire,Oval Invincibles,field,female,2023,no,"Kennington Oval, London London",yes,,,,
,10,Birmingham Phoenix,Manchester Originals,bat,female,2023,no,"Old Trafford, Manchester Manchester",no,,,,
,10,Manchester Originals,Birmingham Phoenix,field,female,2023,yes,"Old Trafford, Manchester Manchester",yes,,,,
,11,London Spirit,Southern Brave,bat,female,2023,yes,"Lord's, London London",no,,,,
,11,Southern Brave,London Spirit,field,female,2023,no,"Lord's, London London",yes,,,,
,12,Northern Superchargers,Trent Rockets,bat,female,2023,no,"Trent Bridge, Nottingham Nottingham",yes,,,,
,12,Trent Rockets,Northern Superchargers,field,female,2023,yes,"Trent Bridge, Nottingham Nottingham",no,,,,
,13,Oval Invincibles,Manchester Originals,bat,female,2023,yes,"Kennington Oval, London London",no,,,,
,13,Manchester Originals,Oval Invincibles,field,female,2023,no,"Kennington Oval, London London",yes,,,,
,14,Birmingham Phoenix,Welsh Fire,field,female,2023,yes,"Edgbaston, Birmingham Birmingham",yes,,,,
,14,Welsh Fire,Birmingham Phoenix,bat,female,2023,no,"Edgbaston, Birmingham Birmingham",no,,,,
,15,Northern Superchargers,Oval Invincibles,bat,female,2023,yes,"Headingley, Leeds Leeds",yes,,,,
,15,Oval Invincibles,Northern Superchargers,field,female,2023,no,"Headingley, Leeds Leeds",no,,,,
,16,London Spirit,Trent Rockets,bat,female,2023,yes,"Lord's, London London",no,,,,
,16,Trent Rockets,London Spirit,field,female,2023,no,"Lord's, London London",yes,,,,
,17,Welsh Fire,Southern Brave,bat,female,2023,yes,"Sophia Gardens, Cardiff Cardiff",no,,,,
,17,Southern Brave,Welsh Fire,field,female,2023,no,"Sophia Gardens, Cardiff Cardiff",yes,,,,
,18,Northern Superchargers,Manchester Originals,bat,female,2023,yes,"Headingley, Leeds Leeds",yes,,,,
,18,Manchester Originals,Northern Superchargers,field,female,2023,no,"Headingley, Leeds Leeds",no,,,,
,19,Oval Invincibles,Birmingham Phoenix,bat,female,2023,no,"Edgbaston, Birmingham Birmingham",no,,,,
,19,Birmingham Phoenix,Oval Invincibles,field,female,2023,yes,"Edgbaston, Birmingham Birmingham",yes,,,,
,20,Welsh Fire,Trent Rockets,bat,female,2023,yes,"Sophia Gardens, Cardiff Cardiff",yes,,,,
,20,Trent Rockets,Welsh Fire,field,female,2023,no,"Sophia Gardens, Cardiff Cardiff",no,,,,
,21,London Spirit,Oval Invincibles,bat,female,2023,no,"Kennington Oval, London London",no,,,,
,21,Oval Invincibles,London Spirit,field,female,2023,yes,"Kennington Oval, London London",yes,,,,
,22,Southern Brave,Birmingham Phoenix,bat,female,2023,yes,"The Rose Bowl, Southampton Southampton",yes,,,,
,22,Birmingham Phoenix,Southern Brave,field,female,2023,no,"The Rose Bowl, Southampton Southampton",no,,,,
,23,Manchester Originals,Trent Rockets,bat,female,2023,no,"Trent Bridge, Nottingham Nottingham",yes,,,,
,23,Trent Rockets,Manchester Originals,field,female,2023,yes,"Trent Bridge, Nottingham Nottingham",no,,,,
,24,London Spirit,Northern Superchargers,bat,female,2023,yes,"Lord's, London London",no,,,,
,24,Northern Superchargers,London Spirit,field,female,2023,no,"Lord's, London London",yes,,,,
,25,Trent Rockets,Birmingham Phoenix,bat,female,2023,yes,"Trent Bridge, Nottingham Nottingham",yes,,,,
,25,Birmingham Phoenix,Trent Rockets,field,female,2023,no,"Trent Bridge, Nottingham Nottingham",no,,,,
,26,Oval Invincibles,Southern Brave,bat,female,2023,no,"The Rose Bowl, Southampton Southampton",yes,,,,
,26,Southern Brave,Oval Invincibles,field,female,2023,yes,"The Rose Bowl, Southampton Southampton",no,,,,
,27,Northern Superchargers,Manchester Originals,bat,female,2023,no,"Old Trafford, Manchester Manchester",yes,,,,
,27,Manchester Originals,Northern Superchargers,field,female,2023,yes,"Old Trafford, Manchester Manchester",no,,,,
,28,Welsh Fire,London Spirit,bat,female,2023,yes,"Sophia Gardens, Cardiff Cardiff",no,,,,
,28,London Spirit,Welsh Fire,field,female,2023,no,"Sophia Gardens, Cardiff Cardiff",yes,,,,
,29,Oval Invincibles,Trent Rockets,bat,female,2023,yes,"Kennington Oval, London London",yes,,,,
,29,Trent Rockets,Oval Invincibles,field,female,2023,no,"Kennington Oval, London London",no,,,,
,30,Northern Superchargers,Welsh Fire,bat,female,2023,yes,"Headingley, Leeds Leeds",yes,,,,
,30,Welsh Fire,Northern Superchargers,field,female,2023,no,"Headingley, Leeds Leeds",no,,,,
,31,Manchester Originals,Southern Brave,bat,female,2023,yes,"Old Trafford, Manchester Manchester",no,,,,
,31,Southern Brave,Manchester Originals,field,female,2023,no,"Old Trafford, Manchester Manchester",yes,,,,
,32,London Spirit,Birmingham Phoenix,bat,female,2023,no,"Edgbaston, Birmingham Birmingham",no,,,,
,32,Birmingham Phoenix,London Spirit,field,female,2023,yes,"Edgbaston, Birmingham Birmingham",yes,,,,
,50,Southern Brave,Northern Superchargers,bat,female,2023,no,"Lord's, London London",yes,,,,
,50,Northern Superchargers,Southern Brave,field,female,2023,no,"Lord's, London London",no,,,,
,1,Trent Rockets,Southern Brave,bat,male,2023,yes,"Trent Bridge, Nottingham Nottingham",no,,,,
,1,Southern Brave,Trent Rockets,field,male,2023,no,"Trent Bridge, Nottingham Nottingham",yes,,,,
,2,Welsh Fire,Manchester Originals,bat,male,2023,yes,"Sophia Gardens, Cardiff Cardiff",no,,,,
,2,Manchester Originals,Welsh Fire,field,male,2023,no,"Sophia Gardens, Cardiff Cardiff",yes,,,,
,3,London Spirit,Oval Invincibles,bat,male,2023,yes,"Lord's, London London",no,,,,
,3,Oval Invincibles,London Spirit,field,male,2023,no,"Lord's, London London",yes,,,,
,5,Southern Brave,Welsh Fire,bat,male,2023,yes,"The Rose Bowl, Southampton Southampton",no,,,,
,5,Welsh Fire,Southern Brave,field,male,2023,no,"The Rose Bowl, Southampton Southampton",yes,,,,
,8,Northern Superchargers,Southern Brave,bat,male,2023,no,"The Rose Bowl, Southampton Southampton",no,,,,
,8,Southern Brave,Northern Superchargers,field,male,2023,yes,"The Rose Bowl, Southampton Southampton",yes,,,,
,10,Manchester Originals,Birmingham Phoenix,bat,male,2023,yes,"Old Trafford, Manchester Manchester",no,,,,
,10,Birmingham Phoenix,Manchester Originals,field,male,2023,no,"Old Trafford, Manchester Manchester",yes,,,,
,12,Northern Superchargers,Trent Rockets,bat,male,2023,no,"Trent Bridge, Nottingham Nottingham",no,,,,
,12,Trent Rockets,Northern Superchargers,field,male,2023,yes,"Trent Bridge, Nottingham Nottingham",yes,,,,
,13,Oval Invincibles,Manchester Originals,bat,male,2023,yes,"Kennington Oval, London London",no,,,,
,13,Manchester Originals,Oval Invincibles,field,male,2023,no,"Kennington Oval, London London",yes,,,,
,14,Birmingham Phoenix,Welsh Fire,bat,male,2023,yes,"Edgbaston, Birmingham Birmingham",yes,,,,
,14,Welsh Fire,Birmingham Phoenix,field,male,2023,no,"Edgbaston, Birmingham Birmingham",no,,,,
,15,Oval Invincibles,Northern Superchargers,bat,male,2023,no,"Headingley, Leeds Leeds",yes,,,,
,15,Northern Superchargers,Oval Invincibles,field,male,2023,yes,"Headingley, Leeds Leeds",no,,,,
,16,London Spirit,Trent Rockets,bat,male,2023,yes,"Lord's, London London",no,,,,
,16,Trent Rockets,London Spirit,field,male,2023,no,"Lord's, London London",yes,,,,
,17,Welsh Fire,Southern Brave,bat,male,2023,yes,"Sophia Gardens, Cardiff Cardiff",no,,,,
,17,Southern Brave,Welsh Fire,field,male,2023,no,"Sophia Gardens, Cardiff Cardiff",yes,,,,
,18,Manchester Originals,Northern Superchargers,bat,male,2023,no,"Headingley, Leeds Leeds",yes,,,,
,18,Northern Superchargers,Manchester Originals,field,male,2023,yes,"Headingley, Leeds Leeds",no,,,,
,19,Birmingham Phoenix,Oval Invincibles,bat,male,2023,yes,"Edgbaston, Birmingham Birmingham",no,,,,
,19,Oval Invincibles,Birmingham Phoenix,field,male,2023,no,"Edgbaston, Birmingham Birmingham",yes,,,,
,20,Trent Rockets,Welsh Fire,bat,male,2023,no,"Sophia Gardens, Cardiff Cardiff",no,,,,
,20,Welsh Fire,Trent Rockets,field,male,2023,yes,"Sophia Gardens, Cardiff Cardiff",yes,,,,
,21,Oval Invincibles,London Spirit,bat,male,2023,yes,"Kennington Oval, London London",yes,,,,
,21,London Spirit,Oval Invincibles,field,male,2023,no,"Kennington Oval, London London",no,,,,
,22,Birmingham Phoenix,Southern Brave,bat,male,2023,no,"The Rose Bowl, Southampton Southampton",yes,,,,
,22,Southern Brave,Birmingham Phoenix,field,male,2023,yes,"The Rose Bowl, Southampton Southampton",no,,,,
,23,Manchester Originals,Trent Rockets,bat,male,2023,no,"Trent Bridge, Nottingham Nottingham",no,,,,
,23,Trent Rockets,Manchester Originals,field,male,2023,yes,"Trent Bridge, Nottingham Nottingham",yes,,,,
,24,London Spirit,Northern Superchargers,bat,male,2023,yes,"Lord's, London London",no,,,,
,24,Northern Superchargers,London Spirit,field,male,2023,no,"Lord's, London London",yes,,,,
,25,Trent Rockets,Birmingham Phoenix,bat,male,2023,yes,"Trent Bridge, Nottingham Nottingham",no,,,,
,25,Birmingham Phoenix,Trent Rockets,field,male,2023,no,"Trent Bridge, Nottingham Nottingham",yes,,,,
,26,Oval Invincibles,Southern Brave,bat,male,2023,no,"The Rose Bowl, Southampton Southampton",yes,,,,
,26,Southern Brave,Oval Invincibles,field,male,2023,yes,"The Rose Bowl, Southampton Southampton",no,,,,
,27,Manchester Originals,Northern Superchargers,bat,male,2023,yes,"Old Trafford, Manchester Manchester",yes,,,,
,27,Northern Superchargers,Manchester Originals,field,male,2023,no,"Old Trafford, Manchester Manchester",no,,,,
,28,London Spirit,Welsh Fire,bat,male,2023,no,"Sophia Gardens, Cardiff Cardiff",yes,,,,
,28,Welsh Fire,London Spirit,field,male,2023,yes,"Sophia Gardens, Cardiff Cardiff",no,,,,
,29,Trent Rockets,Oval Invincibles,bat,male,2023,no,"Kennington Oval, London London",yes,,,,
,29,Oval Invincibles,Trent Rockets,field,male,2023,yes,"Kennington Oval, London London",no,,,,
,30,Northern Superchargers,Welsh Fire,bat,male,2023,yes,"Headingley, Leeds Leeds",yes,,,,
,30,Welsh Fire,Northern Superchargers,field,male,2023,no,"Headingley, Leeds Leeds",no,,,,
,31,Manchester Originals,Southern Brave,bat,male,2023,yes,"Old Trafford, Manchester Manchester",no,,,,
,31,Southern Brave,Manchester Originals,field,male,2023,no,"Old Trafford, Manchester Manchester",yes,,,,
,32,Birmingham Phoenix,London Spirit,bat,male,2023,yes,"Edgbaston, Birmingham Birmingham",no,,,,
,32,London Spirit,Birmingham Phoenix,field,male,2023,no,"Edgbaston, Birmingham Birmingham",yes,,,,
,40,Southern Brave,Manchester Originals,bat,male,2023,no,"Kennington Oval, London London",yes,,,,
,40,Manchester Originals,Southern Brave,field,male,2023,no,"Kennington Oval, London London",no,,,,
,50,Oval Invincibles,Manchester Originals,bat,male,2023,no,"Lord's, London London",yes,,,,
,50,Manchester Originals,Oval Invincibles,field,male,2023,no,"Lord's, London London",no,,,,