Result,match_number,team,opponent,toss_decision,gender,season,team_score,team_wickets,winner,toss_winner,home_advantage,venue_city,choose_to_bat,avg_score,avg_win_rate,avg_wickets_out,last_match_result
win,1,Southern Brave,Trent Rockets,bat,female,2023,157,6,Southern Brave,Trent Rockets,no,"Trent Bridge, Nottingham Nottingham",no,,,,
lose,1,Trent Rockets,Southern Brave,field,female,2023,130,7,Southern Brave,Trent Rockets,yes,"Trent Bridge, Nottingham Nottingham",yes,,,,
lose,4,Birmingham Phoenix,Northern Superchargers,bat,female,2023,110,8,Northern Superchargers,Northern Superchargers,no,"Headingley, Leeds Leeds",no,,,,
win,4,Northern Superchargers,Birmingham Phoenix,field,female,2023,112,3,Northern Superchargers,Northern Superchargers,yes,"Headingley, Leeds Leeds",yes,,,,
win,5,Welsh Fire,Southern Brave,bat,female,2023,165,3,Welsh Fire,Southern Brave,no,"The Rose Bowl, Southampton Southampton",no,,,,
lose,5,Southern Brave,Welsh Fire,field,female,2023,161,4,Welsh Fire,Southern Brave,yes,"The Rose Bowl, Southampton Southampton",yes,,,,
win,8,Southern Brave,Northern Superchargers,field,female,2023,102,5,Southern Brave,Southern Brave,yes,"The Rose Bowl, Southampton Southampton",yes,,,,
lose,8,Northern Superchargers,Southern Brave,bat,female,2023,100,8,Southern Brave,Southern Brave,no,"The Rose Bowl, Southampton Southampton",no,,,,
lose,9,Oval Invincibles,Welsh Fire,bat,female,2023,80,0,Welsh Fire,Welsh Fire,yes,"Kennington Oval, London London",no,,,,
win,9,Welsh Fire,Oval Invincibles,field,female,2023,81,7,Welsh Fire,Welsh Fire,no,"Kennington Oval, London London",yes,,,,
lose,10,Birmingham Phoenix,Manchester Originals,bat,female,2023,87,0,Manchester Originals,Manchester Originals,no,"Old Trafford, Manchester Manchester",no,,,,
win,10,Manchester Originals,Birmingham Phoenix,field,female,2023,91,5,Manchester Originals,Manchester Originals,yes,"Old Trafford, Manchester Manchester",yes,,,,
lose,11,London Spirit,Southern Brave,bat,female,2023,104,5,Southern Brave,Southern Brave,yes,"Lord's, London London",no,,,,
win,11,Southern Brave,London Spirit,field,female,2023,108,5,Southern Brave,Southern Brave,no,"Lord's, London London",yes,,,,
win,12,Northern Superchargers,Trent Rockets,bat,female,2023,134,4,Northern Superchargers,Northern Superchargers,no,"Trent Bridge, Nottingham Nottingham",yes,,,,
lose,12,Trent Rockets,Northern Superchargers,field,female,2023,125,7,Northern Superchargers,Northern Superchargers,yes,"Trent Bridge, Nottingham Nottingham",no,,,,
win,13,Oval Invincibles,Manchester Originals,bat,female,2023,128,7,Oval Invincibles,Manchester Originals,yes,"Kennington Oval, London London",no,,,,
lose,13,Manchester Originals,Oval Invincibles,field,female,2023,123,9,Oval Invincibles,Manchester Originals,no,"Kennington Oval, London London",yes,,,,
lose,14,Birmingham Phoenix,Welsh Fire,field,female,2023,134,4,Welsh Fire,Birmingham Phoenix,yes,"Edgbaston, Birmingham Birmingham",yes,,,,
win,14,Welsh Fire,Birmingham Phoenix,bat,female,2023,137,7,Welsh Fire,Birmingham Phoenix,no,"Edgbaston, Birmingham Birmingham",no,,,,
win,15,Northern Superchargers,Oval Invincibles,bat,female,2023,143,4,Northern Superchargers,Northern Superchargers,yes,"Headingley, Leeds Leeds",yes,,,,
lose,15,Oval Invincibles,Northern Superchargers,field,female,2023,129,5,Northern Superchargers,Northern Superchargers,no,"Headingley, Leeds Leeds",no,,,,
lose,16,London Spirit,Trent Rockets,bat,female,2023,124,4,Trent Rockets,Trent Rockets,yes,"Lord's, London London",no,,,,
win,16,Trent Rockets,London Spirit,field,female,2023,127,5,Trent Rockets,Trent Rockets,no,"Lord's, London London",yes,,,,
lose,17,Welsh Fire,Southern Brave,bat,female,2023,144,5,Southern Brave,Southern Brave,yes,"Sophia Gardens, Cardiff Cardiff",no,,,,
win,17,Southern Brave,Welsh Fire,field,female,2023,145,8,Southern Brave,Southern Brave,no,"Sophia Gardens, Cardiff Cardiff",yes,,,,
win,18,Northern Superchargers,Manchester Originals,bat,female,2023,133,5,Northern Superchargers,Northern Superchargers,yes,"Headingley, Leeds Leeds",yes,,,,
lose,18,Manchester Originals,Northern Superchargers,field,female,2023,108,7,Northern Superchargers,Northern Superchargers,no,"Headingley, Leeds Leeds",no,,,,
win,19,Oval Invincibles,Birmingham Phoenix,bat,female,2023,142,5,Oval Invincibles,Birmingham Phoenix,no,"Edgbaston, Birmingham Birmingham",no,,,,
lose,19,Birmingham Phoenix,Oval Invincibles,field,female,2023,132,6,Oval Invincibles,Birmingham Phoenix,yes,"Edgbaston, Birmingham Birmingham",yes,,,,
win,20,Welsh Fire,Trent Rockets,bat,female,2023,181,3,Welsh Fire,Welsh Fire,yes,"Sophia Gardens, Cardiff Cardiff",yes,,,,
lose,20,Trent Rockets,Welsh Fire,field,female,2023,140,5,Welsh Fire,Welsh Fire,no,"Sophia Gardens, Cardiff Cardiff",no,,,,
win,21,London Spirit,Oval Invincibles,bat,female,2023,118,9,London Spirit,Oval Invincibles,no,"Kennington Oval, London London",no,,,,
lose,21,Oval Invincibles,London Spirit,field,female,2023,97,0,London Spirit,Oval Invincibles,yes,"Kennington Oval, London London",yes,,,,
win,22,Southern Brave,Birmingham Phoenix,bat,female,2023,132,4,Southern Brave,Southern Brave,yes,"The Rose Bowl, Southampton Southampton",yes,,,,
lose,22,Birmingham Phoenix,Southern Brave,field,female,2023,129,8,Southern Brave,Southern Brave,no,"The Rose Bowl, Southampton Southampton",no,,,,
lose,23,Manchester Originals,Trent Rockets,bat,female,2023,107,5,Trent Rockets,Manchester Originals,no,"Trent Bridge, Nottingham Nottingham",yes,,,,
win,23,Trent Rockets,Manchester Originals,field,female,2023,110,1,Trent Rockets,Manchester Originals,yes,"Trent Bridge, Nottingham Nottingham",no,,,,
lose,24,London Spirit,Northern Superchargers,bat,female,2023,135,7,Northern Superchargers,Northern Superchargers,yes,"Lord's, London London",no,,,,
win,24,Northern Superchargers,London Spirit,field,female,2023,136,6,Northern Superchargers,Northern Superchargers,no,"Lord's, London London",yes,,,,
win,25,Trent Rockets,Birmingham Phoenix,bat,female,2023,134,6,Trent Rockets,Trent Rockets,yes,"Trent Bridge, Nottingham Nottingham",yes,,,,
lose,25,Birmingham Phoenix,Trent Rockets,field,female,2023,131,4,Trent Rockets,Trent Rockets,no,"Trent Bridge, Nottingham Nottingham",no,,,,
lose,26,Oval Invincibles,Southern Brave,bat,female,2023,130,6,Southern Brave,Oval Invincibles,no,"The Rose Bowl, Southampton Southampton",yes,,,,
win,26,Southern Brave,Oval Invincibles,field,female,2023,132,3,Southern Brave,Oval Invincibles,yes,"The Rose Bowl, Southampton Southampton",no,,,,
lose,27,Northern Superchargers,Manchester Originals,bat,female,2023,107,8,Manchester Originals,Northern Superchargers,no,"Old Trafford, Manchester Manchester",yes,,,,
win,27,Manchester Originals,Northern Superchargers,field,female,2023,108,7,Manchester Originals,Northern Superchargers,yes,"Old Trafford, Manchester Manchester",no,,,,
win,28,Welsh Fire,London Spirit,bat,female,2023,161,4,Welsh Fire,London Spirit,yes,"Sophia Gardens, Cardiff Cardiff",no,,,,
lose,28,London Spirit,Welsh Fire,field,female,2023,138,7,Welsh Fire,London Spirit,no,"Sophia Gardens, Cardiff Cardiff",yes,,,,
win,29,Oval Invincibles,Trent Rockets,bat,female,2023,156,6,Oval Invincibles,Oval Invincibles,yes,"Kennington Oval, London London",yes,,,,
lose,29,Trent Rockets,Oval Invincibles,field,female,2023,152,8,Oval Invincibles,Oval Invincibles,no,"Kennington Oval, London London",no,,,,
win,30,Northern Superchargers,Welsh Fire,bat,female,2023,144,4,Northern Superchargers,Northern Superchargers,yes,"Headingley, Leeds Leeds",yes,,,,
lose,30,Welsh Fire,Northern Superchargers,field,female,2023,128,8,Northern Superchargers,Northern Superchargers,no,"Headingley, Leeds Leeds",no,,,,
lose,31,Manchester Originals,Southern Brave,bat,female,2023,118,4,Southern Brave,Southern Brave,yes,"Old Trafford, Manchester Manchester",no,,,,
win,31,Southern Brave,Manchester Originals,field,female,2023,121,2,Southern Brave,Southern Brave,no,"Old Trafford, Manchester Manchester",yes,,,,
win,32,London Spirit,Birmingham Phoenix,bat,female,2023,172,5,London Spirit,Birmingham Phoenix,no,"Edgbaston, Birmingham Birmingham",no,,,,
lose,32,Birmingham Phoenix,London Spirit,field,female,2023,99,0,London Spirit,Birmingham Phoenix,yes,"Edgbaston, Birmingham Birmingham",yes,,,,
win,50,Southern Brave,Northern Superchargers,bat,female,2023,139,6,Southern Brave,Northern Superchargers,no,"Lord's, London London",yes,,,,
lose,50,Northern Superchargers,Southern Brave,field,female,2023,105,0,Southern Brave,Northern Superchargers,no,"Lord's, London London",no,,,,
win,1,Trent Rockets,Southern Brave,bat,male,2023,133,8,Trent Rockets,Southern Brave,yes,"Trent Bridge, Nottingham Nottingham",no,,,,
lose,1,Southern Brave,Trent Rockets,field,male,2023,127,0,Trent Rockets,Southern Brave,no,"Trent Bridge, Nottingham Nottingham",yes,,,,
win,2,Welsh Fire,Manchester Originals,bat,male,2023,94,3,Welsh Fire,Manchester Originals,yes,"Sophia Gardens, Cardiff Cardiff",no,,,,
lose,2,Manchester Originals,Welsh Fire,field,male,2023,85,4,Welsh Fire,Manchester Originals,no,"Sophia Gardens, Cardiff Cardiff",yes,,,,
lose,3,London Spirit,Oval Invincibles,bat,male,2023,131,0,Oval Invincibles,Oval Invincibles,yes,"Lord's, London London",no,,,,
win,3,Oval Invincibles,London Spirit,field,male,2023,132,7,Oval Invincibles,Oval Invincibles,no,"Lord's, London London",yes,,,,
win,5,Southern Brave,Welsh Fire,bat,male,2023,147,8,Southern Brave,Welsh Fire,yes,"The Rose Bowl, Southampton Southampton",no,,,,
lose,5,Welsh Fire,Southern Brave,field,male,2023,145,7,Southern Brave,Welsh Fire,no,"The Rose Bowl, Southampton Southampton",yes,,,,
win,8,Northern Superchargers,Southern Brave,bat,male,2023,201,3,Northern Superchargers,Southern Brave,no,"The Rose Bowl, Southampton Southampton",no,,,,
lose,8,Southern Brave,Northern Superchargers,field,male,2023,141,5,Northern Superchargers,Southern Brave,yes,"The Rose Bowl, Southampton Southampton",yes,,,,
win,10,Manchester Originals,Birmingham Phoenix,bat,male,2023,160,8,Manchester Originals,Birmingham Phoenix,yes,"Old Trafford, Manchester Manchester",no,,,,
lose,10,Birmingham Phoenix,Manchester Originals,field,male,2023,111,0,Manchester Originals,Birmingham Phoenix,no,"Old Trafford, Manchester Manchester",yes,,,,
win,12,Northern Superchargers,Trent Rockets,bat,male,2023,142,5,Northern Superchargers,Trent Rockets,no,"Trent Bridge, Nottingham Nottingham",no,,,,
lose,12,Trent Rockets,Northern Superchargers,field,male,2023,139,7,Northern Superchargers,Trent Rockets,yes,"Trent Bridge, Nottingham Nottingham",yes,,,,
win,13,Oval Invincibles,Manchester Originals,bat,male,2023,186,5,Oval Invincibles,Manchester Originals,yes,"Kennington Oval, London London",no,,,,
lose,13,Manchester Originals,Oval Invincibles,field,male,2023,92,0,Oval Invincibles,Manchester Originals,no,"Kennington Oval, London London",yes,,,,
lose,14,Birmingham Phoenix,Welsh Fire,bat,male,2023,112,7,Welsh Fire,Birmingham Phoenix,yes,"Edgbaston, Birmingham Birmingham",yes,,,,
win,14,Welsh Fire,Birmingham Phoenix,field,male,2023,116,4,Welsh Fire,Birmingham Phoenix,no,"Edgbaston, Birmingham Birmingham",no,,,,
win,15,Oval Invincibles,Northern Superchargers,bat,male,2023,185,5,Oval Invincibles,Oval Invincibles,no,"Headingley, Leeds Leeds",yes,,,,
lose,15,Northern Superchargers,Oval Invincibles,field,male,2023,176,8,Oval Invincibles,Oval Invincibles,yes,"Headingley, Leeds Leeds",no,,,,
win,16,London Spirit,Trent Rockets,bat,male,2023,195,4,London Spirit,Trent Rockets,yes,"Lord's, London London",no,,,,
lose,16,Trent Rockets,London Spirit,field,male,2023,193,5,London Spirit,Trent Rockets,no,"Lord's, London London",yes,,,,
lose,17,Welsh Fire,Southern Brave,bat,male,2023,87,0,Southern Brave,Southern Brave,yes,"Sophia Gardens, Cardiff Cardiff",no,,,,
win,17,Southern Brave,Welsh Fire,field,male,2023,91,1,Southern Brave,Southern Brave,no,"Sophia Gardens, Cardiff Cardiff",yes,,,,
win,18,Manchester Originals,Northern Superchargers,bat,male,2023,182,6,Manchester Originals,Manchester Originals,no,"Headingley, Leeds Leeds",yes,,,,
lose,18,Northern Superchargers,Manchester Originals,field,male,2023,141,9,Manchester Originals,Manchester Originals,yes,"Headingley, Leeds Leeds",no,,,,
win,19,Birmingham Phoenix,Oval Invincibles,bat,male,2023,160,8,Birmingham Phoenix,Oval Invincibles,yes,"Edgbaston, Birmingham Birmingham",no,,,,
lose,19,Oval Invincibles,Birmingham Phoenix,field,male,2023,119,0,Birmingham Phoenix,Oval Invincibles,no,"Edgbaston, Birmingham Birmingham",yes,,,,
win,20,Trent Rockets,Welsh Fire,bat,male,2023,152,6,Trent Rockets,Welsh Fire,no,"Sophia Gardens, Cardiff Cardiff",no,,,,
lose,20,Welsh Fire,Trent Rockets,field,male,2023,148,6,Trent Rockets,Welsh Fire,yes,"Sophia Gardens, Cardiff Cardiff",yes,,,,
win,21,Oval Invincibles,London Spirit,bat,male,2023,189,4,Oval Invincibles,Oval Invincibles,yes,"Kennington Oval, London London",yes,,,,
lose,21,London Spirit,Oval Invincibles,field,male,2023,187,7,Oval Invincibles,Oval Invincibles,no,"Kennington Oval, London London",no,,,,
lose,22,Birmingham Phoenix,Southern Brave,bat,male,2023,119,8,Southern Brave,Birmingham Phoenix,no,"The Rose Bowl, Southampton Southampton",yes,,,,
win,22,Southern Brave,Birmingham Phoenix,field,male,2023,120,6,Southern Brave,Birmingham Phoenix,yes,"The Rose Bowl, Southampton Southampton",no,,,,
win,23,Manchester Originals,Trent Rockets,bat,male,2023,181,6,Manchester Originals,Trent Rockets,no,"Trent Bridge, Nottingham Nottingham",no,,,,
lose,23,Trent Rockets,Manchester Originals,field,male,2023,171,5,Manchester Originals,Trent Rockets,yes,"Trent Bridge, Nottingham Nottingham",yes,,,,
win,24,London Spirit,Northern Superchargers,bat,male,2023,160,6,London Spirit,Northern Superchargers,yes,"Lord's, London London",no,,,,
lose,24,Northern Superchargers,London Spirit,field,male,2023,147,7,London Spirit,Northern Superchargers,no,"Lord's, London London",yes,,,,
win,25,Trent Rockets,Birmingham Phoenix,bat,male,2023,162,6,Trent Rockets,Birmingham Phoenix,yes,"Trent Bridge, Nottingham Nottingham",no,,,,
lose,25,Birmingham Phoenix,Trent Rockets,field,male,2023,116,9,Trent Rockets,Birmingham Phoenix,no,"Trent Bridge, Nottingham Nottingham",yes,,,,
win,26,Oval Invincibles,Southern Brave,bat,male,2023,139,7,Oval Invincibles,Oval Invincibles,no,"The Rose Bowl, Southampton Southampton",yes,,,,
lose,26,Southern Brave,Oval Invincibles,field,male,2023,131,7,Oval Invincibles,Oval Invincibles,yes,"The Rose Bowl, Southampton Southampton",no,,,,
win,27,Manchester Originals,Northern Superchargers,bat,male,2023,164,6,Manchester Originals,Manchester Originals,yes,"Old Trafford, Manchester Manchester",yes,,,,
lose,27,Northern Superchargers,Manchester Originals,field,male,2023,83,0,Manchester Originals,Manchester Originals,no,"Old Trafford, Manchester Manchester",no,,,,
lose,28,London Spirit,Welsh Fire,bat,male,2023,109,9,Welsh Fire,London Spirit,no,"Sophia Gardens, Cardiff Cardiff",yes,,,,
win,28,Welsh Fire,London Spirit,field,male,2023,110,4,Welsh Fire,London Spirit,yes,"Sophia Gardens, Cardiff Cardiff",no,,,,
lose,29,Trent Rockets,Oval Invincibles,bat,male,2023,148,7,Oval Invincibles,Trent Rockets,no,"Kennington Oval, London London",yes,,,,
win,29,Oval Invincibles,Trent Rockets,field,male,2023,151,5,Oval Invincibles,Trent Rockets,yes,"Kennington Oval, London London",no,,,,
lose,30,Northern Superchargers,Welsh Fire,bat,male,2023,158,7,Welsh Fire,Northern Superchargers,yes,"Headingley, Leeds Leeds",yes,,,,
win,30,Welsh Fire,Northern Superchargers,field,male,2023,159,2,Welsh Fire,Northern Superchargers,no,"Headingley, Leeds Leeds",no,,,,
lose,31,Manchester Originals,Southern Brave,bat,male,2023,130,8,Southern Brave,Southern Brave,yes,"Old Trafford, Manchester Manchester",no,,,,
win,31,Southern Brave,Manchester Originals,field,male,2023,134,4,Southern Brave,Southern Brave,no,"Old Trafford, Manchester Manchester",yes,,,,
win,32,Birmingham Phoenix,London Spirit,bat,male,2023,180,5,Birmingham Phoenix,London Spirit,yes,"Edgbaston, Birmingham Birmingham",no,,,,
lose,32,London Spirit,Birmingham Phoenix,field,male,2023,108,0,Birmingham Phoenix,London Spirit,no,"Edgbaston, Birmingham Birmingham",yes,,,,
lose,40,Southern Brave,Manchester Originals,bat,male,2023,196,1,Manchester Originals,Manchester Originals,no,"Kennington Oval, London London",yes,,,,
win,40,Manchester Originals,Southern Brave,field,male,2023,201,3,Manchester Originals,Manchester Originals,no,"Kennington Oval, London London",no,,,,
win,50,Oval Invincibles,Manchester Originals,bat,male,2023,161,5,Oval Invincibles,Manchester Originals,no,"Lord's, London London",yes,,,,
lose,50,Manchester Originals,Oval Invincibles,field,male,2023,147,6,Oval Invincibles,Manchester Originals,no,"Lord's, London London",no,,,,